Год сметы,Смета,Подразделение БР,Код вида расходов,Наименование вида расходов,Направление расходов,Конечный остаток,Дата проведения,Дата проведения (день),Дата проведения (месяц),Дата проведения (год)
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",663.4,2019-01-10,10.0,1.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",11.97,2019-01-14,14.0,1.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",12.17,2019-02-07,7.0,2.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",488.15,2019-02-08,8.0,2.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",413.05,2019-03-07,7.0,3.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",12.17,2019-03-12,12.0,3.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",12.17,2019-04-05,5.0,4.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",588.28,2019-04-08,8.0,4.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",12.17,2019-05-08,8.0,5.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",550.73,2019-05-15,15.0,5.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",926.23,2019-06-07,7.0,6.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",12.17,2019-06-13,13.0,6.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",375.5,2019-07-09,9.0,7.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",12.17,2019-07-15,15.0,7.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",13.27,2019-08-08,8.0,8.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",832.65,2019-08-08,8.0,8.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",614.25,2019-09-02,2.0,9.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",13.27,2019-09-05,5.0,9.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",505.05,2019-10-02,2.0,10.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",13.27,2019-10-17,17.0,10.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",750.75,2019-11-06,6.0,11.0,2019.0
