Направление расходов,Наименование вида расходов,Год проведения,Месяц проведения,Конечный остаток
"БогданаХмельницкого,52/2",ВО,2020,12,39.04
"БогданаХмельницкого,52/2",ХВС,2020,12,41.66
БогданаХмельницкого52/2,ТЭ,2020,12,3421.83
БогданаХмельницкого52/2,ЭЭ,2020,12,1178654.71
"Верхнепортовая,44",ВО,2020,12,8413.0
"Верхнепортовая,44",ГВС,2020,12,821.17
"Верхнепортовая,44",ТЭ,2020,12,105262.7
"Верхнепортовая,44",ХВС,2020,12,12885.89
"Верхнепортовая,44",ЭЭ,2020,12,38879.23
"Воронежская,154",ВО,2020,12,64885.87
"Воронежская,154",ГВС,2020,12,4491.79
"Воронежская,154",ТЭ,2020,12,429449.84
"Воронежская,154",ХВС,2020,12,55224.2
"Воронежская,154",ЭЭ,2020,12,5619462.79
"Горького,7",ТПЭС,2020,12,14498.15
"Дежнева,7",ЭЭ,2020,12,4689323.38
Дежнева7,ВО,2020,12,14969.34
Дежнева7,ГВС,2020,12,32534.28
Дежнева7,ТЭ,2020,12,2869907.38
Дежнева7,ХВС,2020,12,53370.52
"Зея,пер.Жуковский,15",ТЭ,2020,12,410668.68
"Зеяпер.Жуковский,15",ЭЭ,2020,12,970.07
"К.Маркса,36-20,кв.29",ТЭ,2020,12,12236.53
"К.Маркса36-20,кв.29",ГВС,2020,12,71.33
"Калинина,261",ВО,2020,12,7003.66
"Калинина,261",ТПЭС,2020,12,32790.96
"Калинина,261",ТЭ,2020,12,279420.67
"Калинина,261",ХВС,2020,12,8733.07
"Калинина,261",ЭЭ,2020,12,307392.53
"Калинина,95",ТЭ,2020,12,321806.99
"Калинина,95",ЭЭ,2020,12,27093.07
"КарлаМаркса,,д.16",О,2020,12,10447.87
"КарлаМаркса,,д.16",ПЭ,2020,12,250860.0
"Кирова,17",ВО,2020,12,127028.16
"Кирова,17",ПГ,2020,12,784320.06
"Кирова,17",ХВС,2020,12,89605.88
"Кирова,17",ЭЭ,2020,12,4375352.37
Колхозная32Б,ТЭ,2020,12,791310.78
Колхозная32Б,ЭЭ,2020,12,24636.9
"Ленина,22",ТЭ,2020,12,5366.11
"Ленина,22",ЭЭ,2020,12,118.57
"Ленина,29",ЭЭ,2020,12,440.29
"Ленина,64",ТЭ,2020,12,46103.35
"Ленина,64",ЭЭ,2020,12,2865.72
"Ленина,70",ВО,2020,12,13747.79
"Ленина,70",ТЭ,2020,12,1349022.74
"Ленина,70",ХВС,2020,12,3888.65
"Ленина,70",ЭЭ,2020,12,479639.42
Ленина29,ТЭ,2020,12,47721.8
"Ленинская,22",ВО,2020,12,7230.29
"Ленинская,22",ТЭ,2020,12,681665.76
"Ленинская,22",ХВС,2020,12,11402.17
"Ленинская,22",ЭЭ,2020,12,3350173.45
"Ленинская,33",ВО,2020,12,5347.25
"Ленинская,33",ГВС,2020,12,9000.58
"Ленинская,33",ДТ,2020,12,327.5
"Ленинская,33",ТЭ,2020,12,1138760.53
"Ленинская,33",ХВС,2020,12,3217.39
"Ленинская,33",ЭЭ,2020,12,398904.0
Ленинская22,ДТ,2020,12,2767.5
"М-Амурского,21",ВО,2020,12,35512.08
"М-Амурского,21",ТЭ,2020,12,1004333.49
"М-Амурского,21",ХВС,2020,12,44056.76
"М-Амурского,21",ЭЭ,2020,12,2348532.15
"М-Амурского,42",ВО,2020,12,81890.61
"М-Амурского,42",ГВС,2020,12,61781.2
"М-Амурского,42",ТЭ,2020,12,2565998.0300000003
"М-Амурского,42",ХВС,2020,12,36790.45
"М-Амурского,42",ЭЭ,2020,12,2769297.76
"Мордовцева,6",ВО,2020,12,1634.25
"Мордовцева,6",ТЭ,2020,12,31002.7
"Мордовцева,6",ХВС,2020,12,3106.38
"Мордовцева,6",ЭЭ,2020,12,157352.26
"Муравьева-Амурского,21",ВО,2020,12,6166.08
"Муравьева-Амурского,21",ТЭ,2020,12,217604.45
"Муравьева-Амурского,21",ХВС,2020,12,7652.05
"Муравьева-Амурского,21",ЭЭ,2020,12,341171.76
"Муравьева-Амурского,42",ВО,2020,12,2907.19
"Муравьева-Амурского,42",ГВС,2020,12,2477.25
"Муравьева-Амурского,42",ТЭ,2020,12,127132.22
"Муравьева-Амурского,42",ХВС,2020,12,1435.88
"Муравьева-Амурского,42",ЭЭ,2020,12,103503.9
"Некрасова,102",ВО,2020,12,20822.350000000002
"Некрасова,102",ТЭ,2020,12,782882.62
"Некрасова,102",ХВС,2020,12,18386.289999999997
"Некрасова,102",ЭЭ,2020,12,1783151.89
"Океанскийпр-т,34",ВО,2020,12,84688.52
"Океанскийпр-т,34",ТЭ,2020,12,988037.45
"Океанскийпр-т,34",ХВС,2020,12,41194.87
"Океанскийпр-т,34",ЭЭ,2020,12,4033643.64
"Партизанская,11",ТЭ,2020,12,1524002.72
"Партизанская,11",ХВС,2020,12,120.19
"Партизанская,11",ЭЭ,2020,12,53925.41
"Поротова,14",ВО,2020,12,3623.78
"Поротова,14",ТЭ,2020,12,669642.33
"Поротова,14",ХВС,2020,12,2563.88
"Поротова,14",ЭЭ,2020,12,60968.6
"Профсоюзная,,д.12",ЭЭ,2020,12,993175.55
"Профсоюзная,12",ВО,2020,12,6263.18
"Профсоюзная,12",ГВС,2020,12,9016.16
"Профсоюзная,12",ТЭ,2020,12,1335465.82
"Профсоюзная,12",ХВС,2020,12,3764.52
"Пушкина,4",ВО,2020,12,27156.11
"Пушкина,4",ГВС,2020,12,38263.54
"Пушкина,4",ТЭ,2020,12,3003939.7
"Пушкина,4",ХВС,2020,12,12507.08
"Пушкина,4",ЭЭ,2020,12,3513525.37
"Пушкина,59",ВО,2020,12,363.14
"Пушкина,59",ТЭ,2020,12,354840.76
"Пушкина,59",ХВС,2020,12,611.32
"Пушкина,59",ЭЭ,2020,12,165930.66
"Пушкина,6",ТЭ,2020,12,106718.23
"Пушкинская,8Б",ЭЭ,2020,12,1565.61
"Пушкинская,8б",ТЭ,2020,12,140775.87
