Направление расходов,Наименование вида расходов,Год проведения,Месяц проведения,Конечный остаток
"БогданаХмельницкого,52/2",ВО,2020,1,4.55
"БогданаХмельницкого,52/2",ВО,2020,2,5.35
"БогданаХмельницкого,52/2",ВО,2020,3,3.74
"БогданаХмельницкого,52/2",ВО,2020,4,4.28
"БогданаХмельницкого,52/2",ВО,2020,5,4.28
"БогданаХмельницкого,52/2",ВО,2020,8,3.48
"БогданаХмельницкого,52/2",ВО,2020,9,5.35
"БогданаХмельницкого,52/2",ВО,2020,10,2.67
"БогданаХмельницкого,52/2",ВО,2020,11,2.67
"БогданаХмельницкого,52/2",ВО,2020,12,2.67
"БогданаХмельницкого,52/2",ХВС,2020,1,4.72
"БогданаХмельницкого,52/2",ХВС,2020,2,5.56
"БогданаХмельницкого,52/2",ХВС,2020,3,3.89
"БогданаХмельницкого,52/2",ХВС,2020,4,4.45
"БогданаХмельницкого,52/2",ХВС,2020,5,4.45
"БогданаХмельницкого,52/2",ХВС,2020,8,3.84
"БогданаХмельницкого,52/2",ХВС,2020,9,5.9
"БогданаХмельницкого,52/2",ХВС,2020,10,2.95
"БогданаХмельницкого,52/2",ХВС,2020,11,2.95
"БогданаХмельницкого,52/2",ХВС,2020,12,2.95
БогданаХмельницкого52/2,ТЭ,2020,1,605.71
БогданаХмельницкого52/2,ТЭ,2020,2,605.71
БогданаХмельницкого52/2,ТЭ,2020,3,378.57
БогданаХмельницкого52/2,ТЭ,2020,4,530.0
БогданаХмельницкого52/2,ТЭ,2020,5,113.57
БогданаХмельницкого52/2,ТЭ,2020,10,257.46
БогданаХмельницкого52/2,ТЭ,2020,11,396.09
БогданаХмельницкого52/2,ТЭ,2020,12,534.72
БогданаХмельницкого52/2,ЭЭ,2020,1,122309.41
БогданаХмельницкого52/2,ЭЭ,2020,2,128002.93
БогданаХмельницкого52/2,ЭЭ,2020,3,125617.09
БогданаХмельницкого52/2,ЭЭ,2020,4,111541.68
БогданаХмельницкого52/2,ЭЭ,2020,5,99575.91
БогданаХмельницкого52/2,ЭЭ,2020,6,73004.37
БогданаХмельницкого52/2,ЭЭ,2020,7,73275.96
БогданаХмельницкого52/2,ЭЭ,2020,8,103780.07
БогданаХмельницкого52/2,ЭЭ,2020,9,81674.36
БогданаХмельницкого52/2,ЭЭ,2020,10,81075.4
БогданаХмельницкого52/2,ЭЭ,2020,11,62224.899999999994
БогданаХмельницкого52/2,ЭЭ,2020,12,97794.0
"Верхнепортовая,44",ВО,2020,1,668.47
"Верхнепортовая,44",ВО,2020,2,13.27
"Верхнепортовая,44",ВО,2020,3,641.17
"Верхнепортовая,44",ВО,2020,4,804.97
"Верхнепортовая,44",ВО,2020,5,600.22
"Верхнепортовая,44",ВО,2020,6,518.32
"Верхнепортовая,44",ВО,2020,7,559.27
"Верхнепортовая,44",ВО,2020,8,2141.11
"Верхнепортовая,44",ВО,2020,9,-781.53
"Верхнепортовая,44",ВО,2020,10,490.18
"Верхнепортовая,44",ВО,2020,11,594.25
"Верхнепортовая,44",ВО,2020,12,603.17
"Верхнепортовая,44",ГВС,2020,1,67.26
"Верхнепортовая,44",ГВС,2020,2,67.26
"Верхнепортовая,44",ГВС,2020,3,67.26
"Верхнепортовая,44",ГВС,2020,4,67.26
"Верхнепортовая,44",ГВС,2020,5,67.26
"Верхнепортовая,44",ГВС,2020,6,67.26
"Верхнепортовая,44",ГВС,2020,7,67.26
"Верхнепортовая,44",ГВС,2020,8,70.07
"Верхнепортовая,44",ГВС,2020,9,70.07
"Верхнепортовая,44",ГВС,2020,10,70.07
"Верхнепортовая,44",ГВС,2020,11,70.07
"Верхнепортовая,44",ГВС,2020,12,70.07
"Верхнепортовая,44",ТЭ,2020,2,32247.95
"Верхнепортовая,44",ТЭ,2020,3,14521.58
"Верхнепортовая,44",ТЭ,2020,4,12653.92
"Верхнепортовая,44",ТЭ,2020,5,9629.88
"Верхнепортовая,44",ТЭ,2020,6,5154.07
"Верхнепортовая,44",ТЭ,2020,7,1826.86
"Верхнепортовая,44",ТЭ,2020,8,2454.08
"Верхнепортовая,44",ТЭ,2020,9,3680.11
"Верхнепортовая,44",ТЭ,2020,10,4754.4
"Верхнепортовая,44",ТЭ,2020,11,6275.81
"Верхнепортовая,44",ТЭ,2020,12,12064.04
"Верхнепортовая,44",ХВС,2020,1,1275.59
"Верхнепортовая,44",ХВС,2020,2,12.79
"Верхнепортовая,44",ХВС,2020,3,1222.97
"Верхнепортовая,44",ХВС,2020,4,1538.67
"Верхнепортовая,44",ХВС,2020,5,1144.05
"Верхнепортовая,44",ХВС,2020,6,986.1999999999999
"Верхнепортовая,44",ХВС,2020,7,1065.12
"Верхнепортовая,44",ХВС,2020,8,1133.4099999999999
"Верхнепортовая,44",ХВС,2020,9,1360.4499999999998
"Верхнепортовая,44",ХВС,2020,10,893.09
"Верхнепортовая,44",ХВС,2020,11,1085.54
"Верхнепортовая,44",ХВС,2020,12,1102.0300000000002
"Верхнепортовая,44",ЭЭ,2020,1,1750.6799999999998
"Верхнепортовая,44",ЭЭ,2020,2,3265.62
"Верхнепортовая,44",ЭЭ,2020,3,1773.48
"Верхнепортовая,44",ЭЭ,2020,4,1816.5500000000002
"Верхнепортовая,44",ЭЭ,2020,5,1702.5500000000002
"Верхнепортовая,44",ЭЭ,2020,6,3830.55
"Верхнепортовая,44",ЭЭ,2020,7,4522.15
"Верхнепортовая,44",ЭЭ,2020,8,4454.81
"Верхнепортовая,44",ЭЭ,2020,9,4282.56
"Верхнепортовая,44",ЭЭ,2020,10,4059.96
"Верхнепортовая,44",ЭЭ,2020,11,4900.01
"Верхнепортовая,44",ЭЭ,2020,12,2291.35
"Воронежская,154",ВО,2020,1,6522.79
"Воронежская,154",ВО,2020,2,4049.87
"Воронежская,154",ВО,2020,3,5044.85
"Воронежская,154",ВО,2020,4,5366.2300000000005
"Воронежская,154",ВО,2020,5,4886.86
"Воронежская,154",ВО,2020,6,3930.38
"Воронежская,154",ВО,2020,7,5128.31
"Воронежская,154",ВО,2020,8,7345.530000000001
"Воронежская,154",ВО,2020,9,6346.36
"Воронежская,154",ВО,2020,10,5271.620000000001
"Воронежская,154",ВО,2020,11,6102.86
"Воронежская,154",ВО,2020,12,4890.21
"Воронежская,154",ГВС,2020,7,3041.08
"Воронежская,154",ГВС,2020,8,602.4399999999999
"Воронежская,154",ГВС,2020,9,553.74
"Воронежская,154",ГВС,2020,10,294.53000000000003
"Воронежская,154",ТЭ,2020,1,75398.11
"Воронежская,154",ТЭ,2020,2,80109.49
"Воронежская,154",ТЭ,2020,3,69789.85
"Воронежская,154",ТЭ,2020,4,51071.64
"Воронежская,154",ТЭ,2020,5,34464.07
"Воронежская,154",ТЭ,2020,7,19050.37
"Воронежская,154",ТЭ,2020,8,4163.11
"Воронежская,154",ТЭ,2020,10,5818.94
"Воронежская,154",ТЭ,2020,11,29879.69
"Воронежская,154",ТЭ,2020,12,59704.57
"Воронежская,154",ХВС,2020,1,6221.76
"Воронежская,154",ХВС,2020,2,3167.0
"Воронежская,154",ХВС,2020,3,4396.08
"Воронежская,154",ХВС,2020,4,4793.070000000001
"Воронежская,154",ХВС,2020,5,4200.91
"Воронежская,154",ХВС,2020,6,3019.42
