Направление расходов,Наименование вида расходов,Год проведения,Месяц проведения,Конечный остаток
"Б.Хмельницкого,52/2",ВО,2021,1,2.67
"Б.Хмельницкого,52/2",ВО,2021,3,6.140000000000001
"Б.Хмельницкого,52/2",ВО,2021,4,4.0
"Б.Хмельницкого,52/2",ВО,2021,5,4.0
"Б.Хмельницкого,52/2",ВО,2021,6,4.0
"Б.Хмельницкого,52/2",ВО,2021,7,4.99
"Б.Хмельницкого,52/2",ВО,2021,8,8.32
"Б.Хмельницкого,52/2",ВО,2021,9,6.24
"Б.Хмельницкого,52/2",ВО,2021,10,5.82
"Б.Хмельницкого,52/2",ВО,2021,11,5.41
"Б.Хмельницкого,52/2",ВО,2021,12,4.99
"Б.Хмельницкого,52/2",ТЭ,2021,3,556.34
"Б.Хмельницкого,52/2",ТЭ,2021,4,927.23
"Б.Хмельницкого,52/2",ТЭ,2021,5,185.44
"Б.Хмельницкого,52/2",ТЭ,2021,11,198.43
"Б.Хмельницкого,52/2",ТЭ,2021,12,339.36
"Б.Хмельницкого,52/2",ТЭ,2022,1,500.7
"Б.Хмельницкого,52/2",ХВС,2021,1,2.95
"Б.Хмельницкого,52/2",ХВС,2021,3,6.79
"Б.Хмельницкого,52/2",ХВС,2021,4,2.95
"Б.Хмельницкого,52/2",ХВС,2021,5,2.95
"Б.Хмельницкого,52/2",ХВС,2021,6,2.95
"Б.Хмельницкого,52/2",ХВС,2021,7,3.67
"Б.Хмельницкого,52/2",ХВС,2021,8,6.12
"Б.Хмельницкого,52/2",ХВС,2021,9,4.59
"Б.Хмельницкого,52/2",ХВС,2021,10,4.29
"Б.Хмельницкого,52/2",ХВС,2021,11,3.98
"Б.Хмельницкого,52/2",ХВС,2021,12,3.67
"Б.Хмельницкого,52/2",ЭЭ,2021,1,98295.69
"Б.Хмельницкого,52/2",ЭЭ,2021,2,105757.21
"Б.Хмельницкого,52/2",ЭЭ,2021,3,99129.0
"Б.Хмельницкого,52/2",ЭЭ,2021,4,91685.38
"Б.Хмельницкого,52/2",ЭЭ,2021,5,93734.23
"Б.Хмельницкого,52/2",ЭЭ,2021,6,74614.01
"Б.Хмельницкого,52/2",ЭЭ,2021,7,75348.65
"Б.Хмельницкого,52/2",ЭЭ,2021,8,87194.81
"Б.Хмельницкого,52/2",ЭЭ,2021,9,99033.09
"Б.Хмельницкого,52/2",ЭЭ,2021,10,80070.23000000001
"Б.Хмельницкого,52/2",ЭЭ,2021,11,81107.66
"Б.Хмельницкого,52/2",ЭЭ,2021,12,98912.05
"Верхнепортовая,44",ВО,2021,1,668.58
"Верхнепортовая,44",ВО,2021,2,534.5600000000001
"Верхнепортовая,44",ВО,2021,3,623.76
"Верхнепортовая,44",ВО,2021,4,594.6899999999999
"Верхнепортовая,44",ВО,2021,5,787.5200000000001
"Верхнепортовая,44",ВО,2021,6,519.9200000000001
"Верхнепортовая,44",ВО,2021,7,654.13
"Верхнепортовая,44",ВО,2021,8,461.31
"Верхнепортовая,44",ВО,2021,9,709.87
"Верхнепортовая,44",ВО,2021,10,790.53
"Верхнепортовая,44",ВО,2021,11,484.0
"Верхнепортовая,44",ВО,2021,12,857.3399999999999
"Верхнепортовая,44",ВО,2022,1,758.27
"Верхнепортовая,44",ГВС,2021,1,70.07
"Верхнепортовая,44",ГВС,2021,2,70.07
"Верхнепортовая,44",ГВС,2021,3,70.07
"Верхнепортовая,44",ГВС,2021,4,70.07
"Верхнепортовая,44",ГВС,2021,5,70.07
"Верхнепортовая,44",ГВС,2021,6,70.07
"Верхнепортовая,44",ТЭ,2021,1,15980.86
"Верхнепортовая,44",ТЭ,2021,2,17589.27
"Верхнепортовая,44",ТЭ,2021,3,15116.97
"Верхнепортовая,44",ТЭ,2021,4,13172.72
"Верхнепортовая,44",ТЭ,2021,5,12029.65
"Верхнепортовая,44",ТЭ,2021,6,2656.39
"Верхнепортовая,44",ТЭ,2021,7,4754.4
"Верхнепортовая,44",ТЭ,2021,8,4939.82
"Верхнепортовая,44",ТЭ,2021,9,2230.27
"Верхнепортовая,44",ТЭ,2021,10,4939.82
"Верхнепортовая,44",ТЭ,2021,11,4603.48
"Верхнепортовая,44",ТЭ,2021,12,12534.53
"Верхнепортовая,44",ТЭ,2022,1,16604.09
"Верхнепортовая,44",ХВС,2021,1,1222.99
"Верхнепортовая,44",ХВС,2021,2,975.57
"Верхнепортовая,44",ХВС,2021,3,1140.52
"Верхнепортовая,44",ХВС,2021,4,1085.54
"Верхнепортовая,44",ХВС,2021,5,1442.9299999999998
"Верхнепортовая,44",ХВС,2021,6,948.08
"Верхнепортовая,44",ХВС,2021,7,1209.63
"Верхнепортовая,44",ХВС,2021,8,814.33
"Верхнепортовая,44",ХВС,2021,9,1241.17
"Верхнепортовая,44",ХВС,2021,10,1382.21
"Верхнепортовая,44",ХВС,2021,11,846.25
"Верхнепортовая,44",ХВС,2021,12,1496.5500000000002
"Верхнепортовая,44",ХВС,2022,1,1325.79
"Верхнепортовая,44",ЭЭ,2021,1,2263.2599999999998
"Верхнепортовая,44",ЭЭ,2021,2,2183.7599999999998
"Верхнепортовая,44",ЭЭ,2021,3,1717.3600000000001
"Верхнепортовая,44",ЭЭ,2021,4,2348.06
"Верхнепортовая,44",ЭЭ,2021,5,1900.21
"Верхнепортовая,44",ЭЭ,2021,6,1945.26
"Верхнепортовая,44",ЭЭ,2021,7,3916.7
"Верхнепортовая,44",ЭЭ,2021,8,2084.5
"Верхнепортовая,44",ЭЭ,2021,9,4521.0
"Верхнепортовая,44",ЭЭ,2021,10,2345.75
"Верхнепортовая,44",ЭЭ,2021,11,2249.5
"Верхнепортовая,44",ЭЭ,2021,12,3936.9
Вилюйск,134.1000.04 Якутия Оплата потребления газа г. Вилюйск,2021,4,50498.850000000006
Вилюйск,134.1000.04 Якутия Оплата потребления газа г. Вилюйск,2021,5,11842.83
Вилюйск,134.1000.04 Якутия Оплата потребления газа г. Вилюйск,2021,6,-18270.48
Вилюйск,ЭЭ,2021,3,20937.4
Вилюйск,ЭЭ,2021,4,24795.01
Вилюйск,ЭЭ,2021,5,10350.39
Вилюйск,ЭЭ,2021,6,-16544.25
"Воронежская,154",ВО,2021,1,4505.19
"Воронежская,154",ВО,2021,2,4921.34
"Воронежская,154",ВО,2021,3,5388.01
"Воронежская,154",ВО,2021,4,3592.66
"Воронежская,154",ВО,2021,5,8028.84
"Воронежская,154",ВО,2021,6,5307.87
"Воронежская,154",ВО,2021,7,7660.81
"Воронежская,154",ВО,2021,8,11576.29
"Воронежская,154",ВО,2021,9,12958.22
"Воронежская,154",ВО,2021,10,6095.15
"Воронежская,154",ВО,2021,11,6162.23
"Воронежская,154",ВО,2021,12,5397.7300000000005
"Воронежская,154",ВО,2022,1,5727.55
"Воронежская,154",ГВС,2021,6,424.99
"Воронежская,154",ГВС,2021,7,179.54
"Воронежская,154",ГВС,2021,8,680.3
"Воронежская,154",ГВС,2021,9,569.2
"Воронежская,154",ГВС,2021,10,388.46999999999997
"Воронежская,154",ГВС,2021,11,37360.63
"Воронежская,154",ТЭ,2021,1,1281795.66
"Воронежская,154",ТЭ,2021,2,1300186.8
"Воронежская,154",ТЭ,2021,3,1047752.6499999999
"Воронежская,154",ТЭ,2021,4,738591.8400000001
"Воронежская,154",ТЭ,2021,5,480295.68
"Воронежская,154",ТЭ,2021,6,190792.97
"Воронежская,154",ТЭ,2021,7,66151.26
"Воронежская,154",ТЭ,2021,8,120273.67
"Воронежская,154",ТЭ,2021,9,114131.45
"Воронежская,154",ТЭ,2021,10,95710.54000000001
"Воронежская,154",ТЭ,2021,11,527742.23
"Воронежская,154",ТЭ,2021,12,846514.72
"Воронежская,154",ТЭ,2022,1,1382199.28
"Воронежская,154",ХВС,2021,1,3710.97
"Воронежская,154",ХВС,2021,2,4231.57
"Воронежская,154",ХВС,2021,3,4815.39
"Воронежская,154",ХВС,2021,4,2610.93
"Воронежская,154",ХВС,2021,5,8160.71
"Воронежская,154",ХВС,2021,6,4752.570000000001
"Воронежская,154",ХВС,2021,7,7252.94
"Воронежская,154",ХВС,2021,8,12824.35
"Воронежская,154",ХВС,2021,9,14104.32
"Воронежская,154",ХВС,2021,10,5382.8
"Воронежская,154",ХВС,2021,11,5425.26
"Воронежская,154",ХВС,2021,12,5068.75
"Воронежская,154",ХВС,2022,1,5432.11
"Воронежская,154",ЭЭ,2021,1,529141.99
"Воронежская,154",ЭЭ,2021,2,521128.70999999996
"Воронежская,154",ЭЭ,2021,3,539649.06
"Воронежская,154",ЭЭ,2021,4,559886.14
"Воронежская,154",ЭЭ,2021,5,471290.96
"Воронежская,154",ЭЭ,2021,6,403693.91
"Воронежская,154",ЭЭ,2021,7,439946.76
"Воронежская,154",ЭЭ,2021,8,543071.94
"Воронежская,154",ЭЭ,2021,9,445448.52
"Воронежская,154",ЭЭ,2021,10,372365.21
"Воронежская,154",ЭЭ,2021,11,412426.41
"Воронежская,154",ЭЭ,2021,12,472714.23
"Воронежская,154",ЭЭ,2022,1,481489.2
"Дежнева,7",ТЭ,2021,1,603407.87
"Дежнева,7",ТЭ,2021,2,719121.07
"Дежнева,7",ТЭ,2021,3,119826.0
"Дежнева,7",ТЭ,2021,4,707337.18
"Дежнева,7",ТЭ,2021,5,93492.14
"Дежнева,7",ТЭ,2021,6,124387.72
"Дежнева,7",ТЭ,2021,7,74486.08
"Дежнева,7",ТЭ,2021,8,0.0
"Дежнева,7",ТЭ,2021,10,29329.28
"Дежнева,7",ТЭ,2021,11,106420.40000000001
"Дежнева,7",ТЭ,2021,12,259593.22
"Дежнева,7",ТЭ,2022,1,323094.02
"Дежнева,7",ЭЭ,2021,1,453631.5
"Дежнева,7",ЭЭ,2021,2,423889.2
"Дежнева,7",ЭЭ,2021,3,417154.5
"Дежнева,7",ЭЭ,2021,4,389862.9
"Дежнева,7",ЭЭ,2021,5,410432.4
"Дежнева,7",ЭЭ,2021,6,329823.89999999997
"Дежнева,7",ЭЭ,2021,7,362798.10000000003
"Дежнева,7",ЭЭ,2021,8,377837.1
"Дежнева,7",ЭЭ,2021,9,358841.39999999997
