Подразделение БР,Код вида расходов,Наименование вида расходов,Направление расходов,Вид объекта,Дата проведения (день),Дата проведения (месяц),Дата проведения (год),Конечный остаток
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,10,1,2019,663.4
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,14,1,2019,11.97
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,7,2,2019,12.17
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,8,2,2019,488.15
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,7,3,2019,413.05
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,12,3,2019,12.17
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,5,4,2019,12.17
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,8,4,2019,588.28
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,8,5,2019,12.17
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,15,5,2019,550.73
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,7,6,2019,926.23
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,13,6,2019,12.17
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,9,7,2019,375.5
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,15,7,2019,12.17
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,8,8,2019,13.27
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,8,8,2019,832.65
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,2,9,2019,614.25
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,5,9,2019,13.27
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,2,10,2019,505.05
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,17,10,2019,13.27
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,6,11,2019,750.75
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,8,11,2019,13.27
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,5,12,2019,709.8
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,10,12,2019,13.27
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,27,12,2019,737.1
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,14,1,2019,64.4
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,7,2,2019,65.49
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,12,3,2019,65.49
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,5,4,2019,65.49
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,8,5,2019,65.49
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,13,6,2019,65.49
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,15,7,2019,65.49
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,8,8,2019,67.26
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,5,9,2019,67.26
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,17,10,2019,67.26
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,8,11,2019,67.26
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,10,12,2019,67.26
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,14,1,2019,1637.27
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,8,2,2019,16500.49
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,11,3,2019,14181.24
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,8,4,2019,12357.34
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,15,5,2019,9404.18
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,10,6,2019,3383.98
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,9,7,2019,3568.08
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,8,8,2019,4567.15
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,11,9,2019,3535.17
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,9,10,2019,4415.56
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,11,11,2019,3377.74
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,10,12,2019,11588.89
