Направление расходов,Наименование вида расходов,Вид объекта,Дата проведения,Конечный остаток
"Верхнепортовая, 44 ",ВО,Здание,10.01.2019,663.4
"Верхнепортовая, 44 ",ВО,Здание,14.01.2019,11.97
"Верхнепортовая, 44 ",ВО,Здание,07.02.2019,12.17
"Верхнепортовая, 44 ",ВО,Здание,08.02.2019,488.15
"Верхнепортовая, 44 ",ВО,Здание,07.03.2019,413.05
"Верхнепортовая, 44 ",ВО,Здание,12.03.2019,12.17
"Верхнепортовая, 44 ",ВО,Здание,05.04.2019,12.17
"Верхнепортовая, 44 ",ВО,Здание,08.04.2019,588.28
"Верхнепортовая, 44 ",ВО,Здание,08.05.2019,12.17
"Верхнепортовая, 44 ",ВО,Здание,15.05.2019,550.73
"Верхнепортовая, 44 ",ВО,Здание,07.06.2019,926.23
"Верхнепортовая, 44 ",ВО,Здание,13.06.2019,12.17
"Верхнепортовая, 44 ",ВО,Здание,09.07.2019,375.5
"Верхнепортовая, 44 ",ВО,Здание,15.07.2019,12.17
"Верхнепортовая, 44 ",ВО,Здание,08.08.2019,13.27
"Верхнепортовая, 44 ",ВО,Здание,08.08.2019,832.65
"Верхнепортовая, 44 ",ВО,Здание,02.09.2019,614.25
"Верхнепортовая, 44 ",ВО,Здание,05.09.2019,13.27
"Верхнепортовая, 44 ",ВО,Здание,02.10.2019,505.05
"Верхнепортовая, 44 ",ВО,Здание,17.10.2019,13.27
"Верхнепортовая, 44 ",ВО,Здание,06.11.2019,750.75
"Верхнепортовая, 44 ",ВО,Здание,08.11.2019,13.27
"Верхнепортовая, 44 ",ВО,Здание,05.12.2019,709.8
"Верхнепортовая, 44 ",ВО,Здание,10.12.2019,13.27
"Верхнепортовая, 44 ",ВО,Здание,27.12.2019,737.1
"Верхнепортовая, 44 ",ГВС,Здание,14.01.2019,64.4
"Верхнепортовая, 44 ",ГВС,Здание,07.02.2019,65.49
"Верхнепортовая, 44 ",ГВС,Здание,12.03.2019,65.49
"Верхнепортовая, 44 ",ГВС,Здание,05.04.2019,65.49
"Верхнепортовая, 44 ",ГВС,Здание,08.05.2019,65.49
"Верхнепортовая, 44 ",ГВС,Здание,13.06.2019,65.49
"Верхнепортовая, 44 ",ГВС,Здание,15.07.2019,65.49
"Верхнепортовая, 44 ",ГВС,Здание,08.08.2019,67.26
"Верхнепортовая, 44 ",ГВС,Здание,05.09.2019,67.26
"Верхнепортовая, 44 ",ГВС,Здание,17.10.2019,67.26
"Верхнепортовая, 44 ",ГВС,Здание,08.11.2019,67.26
"Верхнепортовая, 44 ",ГВС,Здание,10.12.2019,67.26
"Верхнепортовая, 44 ",ТЭ,Здание,14.01.2019,1637.27
"Верхнепортовая, 44 ",ТЭ,Здание,08.02.2019,16500.49
"Верхнепортовая, 44 ",ТЭ,Здание,11.03.2019,14181.24
"Верхнепортовая, 44 ",ТЭ,Здание,08.04.2019,12357.34
"Верхнепортовая, 44 ",ТЭ,Здание,15.05.2019,9404.18
"Верхнепортовая, 44 ",ТЭ,Здание,10.06.2019,3383.98
"Верхнепортовая, 44 ",ТЭ,Здание,09.07.2019,3568.08
"Верхнепортовая, 44 ",ТЭ,Здание,08.08.2019,4567.15
"Верхнепортовая, 44 ",ТЭ,Здание,11.09.2019,3535.17
"Верхнепортовая, 44 ",ТЭ,Здание,09.10.2019,4415.56
"Верхнепортовая, 44 ",ТЭ,Здание,11.11.2019,3377.74
"Верхнепортовая, 44 ",ТЭ,Здание,10.12.2019,11588.89
"Верхнепортовая, 44 ",ХВС,Здание,10.01.2019,1340.72
"Верхнепортовая, 44 ",ХВС,Здание,14.01.2019,12.09
"Верхнепортовая, 44 ",ХВС,Здание,07.02.2019,12.3
"Верхнепортовая, 44 ",ХВС,Здание,08.02.2019,986.7
"Верхнепортовая, 44 ",ХВС,Здание,07.03.2019,834.9
"Верхнепортовая, 44 ",ХВС,Здание,12.03.2019,12.3
"Верхнепортовая, 44 ",ХВС,Здание,05.04.2019,12.3
"Верхнепортовая, 44 ",ХВС,Здание,08.04.2019,1189.1
"Верхнепортовая, 44 ",ХВС,Здание,08.05.2019,12.3
"Верхнепортовая, 44 ",ХВС,Здание,15.05.2019,1113.2
"Верхнепортовая, 44 ",ХВС,Здание,07.06.2019,1872.2
"Верхнепортовая, 44 ",ХВС,Здание,13.06.2019,12.3
"Верхнепортовая, 44 ",ХВС,Здание,09.07.2019,759.0
"Верхнепортовая, 44 ",ХВС,Здание,15.07.2019,12.3
"Верхнепортовая, 44 ",ХВС,Здание,08.08.2019,12.79
"Верхнепортовая, 44 ",ХВС,Здание,08.08.2019,1604.81
"Верхнепортовая, 44 ",ХВС,Здание,02.09.2019,1183.88
"Верхнепортовая, 44 ",ХВС,Здание,05.09.2019,12.79
"Верхнепортовая, 44 ",ХВС,Здание,02.10.2019,973.41
"Верхнепортовая, 44 ",ХВС,Здание,17.10.2019,12.79
"Верхнепортовая, 44 ",ХВС,Здание,06.11.2019,1446.96
