Направление расходов,Наименование вида расходов,Вид объекта,Дата проведения,Конечный остаток
"Калинина,261",ТПЭС,Здание,31.12.2020,32790.96
"Седова, 23",ЭЭ,Здание,31.12.2020,2274.13
"Светланская,111",ЭЭ,Здание,31.12.2020,238482.63
"Находка, Находкинский пр-т, 13",ЭЭ,Здание,31.12.2020,614813.95
"Фонтанная,19",ЭЭ,Здание,31.12.2020,22413.58
"Семеновская,29а",ЭЭ,Здание,31.12.2020,4397.3
"Калинина,261",ЭЭ,Здание,31.12.2020,307392.53
"Мордовцева,6",ЭЭ,Здание,31.12.2020,157352.26
"Светланская,69",ЭЭ,Здание,31.12.2020,367137.39
"Светланская,71",ЭЭ,Здание,31.12.2020,1781068.95
"Светланская,71",ЭЭ,пристройка,31.12.2020,530562.51
"Светланская,73",ЭЭ,Здание,31.12.2020,191157.81
"Светланская,73А",ЭЭ,Здание,31.12.2020,196650.05
"Океанский пр-т, 34",ЭЭ,Здание,31.12.2020,4033643.64
"Пушкинская, 8Б",ЭЭ,Здание,31.12.2020,1565.61
"Некрасова, 102",ЭЭ,Здание,31.12.2020,1783151.89
"Пушкина,59",ЭЭ,Здание,31.12.2020,165930.66
"Ленина, 64",ЭЭ,Здание,31.12.2020,2865.72
"Находка, Находкинский пр-т,13",ТЭ,Здание,31.12.2020,608842.93
"Некрасова, 102",ТЭ,большой гараж,31.12.2020,782882.62
"Пушкина,59",ТЭ,Здание,31.12.2020,354840.76
"Калинина, 261",ТЭ,Здание,31.12.2020,279420.67
"Пушкинская,8б",ТЭ,Здание,31.12.2020,140775.87
"Мордовцева,6",ТЭ,Здание,31.12.2020,31002.7
"Светланская,69",ТЭ,Здание,31.12.2020,203010.17
"Светланская,71",ТЭ,Здание,31.12.2020,314590.63
"Светланская,71-",ТЭ,пристройка,31.12.2020,228898.98
"Светланская,73",ТЭ,Здание,31.12.2020,637389.77
"Светланская,73А ",ТЭ,Здание,31.12.2020,191576.81
"Фонтанная, 19 ",ТЭ,Здание,31.12.2020,134430.79
"Океанский пр-т, 34",ТЭ,Здание,31.12.2020,988037.45
"Светланская,111",ТЭ,Здание,31.12.2020,278089.31
"пр-т 50 лет Октября,89",ТЭ,Здание,31.12.2020,52336.84
"Ленина,64",ТЭ,Здание,31.12.2020,46103.35
"Светланская,111",ВО,Здание,31.12.2020,4725.98
"Находка, Находкинский пр-т, 13",ВО,Здание,31.12.2020,23103.58
"Некрасова, 102",ВО,Здание,31.12.2020,18546.72
"Некрасова, 102",ВО,большой гараж,31.12.2020,2275.63
"Океанский пр-т, 34",ВО,Здание,31.12.2020,84688.52
"Пушкина, 59",ВО,Здание,31.12.2020,363.14
"Калинина, 261",ВО,Здание,31.12.2020,7003.66
"Мордовцева, 6",ВО,Здание,31.12.2020,1634.25
"Светланская, 69",ВО,Здание,31.12.2020,13127.84
"Светланская, 71",ВО,Здание,31.12.2020,9670.14
"Светланская, 71",ВО,пристройка,31.12.2020,5206.98
"Светланская, 73 А",ВО,Здание,31.12.2020,2946.11
"Фонтанная, 19",ВО,Здание,31.12.2020,801.52
"Светланская,111",ХВС,Здание,31.12.2020,5929.71
"Находка, Находкинский пр-т, 13",ХВС,Здание,31.12.2020,10715.88
"Некрасова,102",ХВС,Здание,31.12.2020,16859.17
"Некрасова,102",ХВС,большой гараж,31.12.2020,1527.12
"Океанский пр-т, 34",ХВС,Здание,31.12.2020,41194.87
"Пушкина,59",ХВС,Здание,31.12.2020,611.32
"Калинина, 261",ХВС,Здание,31.12.2020,8733.07
"Мордовцева,6",ХВС,Здание,31.12.2020,3106.38
"Светланская, 69",ХВС,Здание,31.12.2020,15445.67
"Светланская, 71",ХВС,Здание,31.12.2020,17033.7
"Светланская, 71",ХВС,пристройка,31.12.2020,9188.86
"Светланская, 73 А",ХВС,Здание,31.12.2020,4342.61
"Фонтанная, 19",ХВС,Здание,31.12.2020,583.65
Горького 7,ЭЭ,генератор,31.12.2020,104980.8
"Дежнева, 7",ЭЭ,Здание,31.12.2020,4689323.38
Южная,ЭЭ,гараж,31.12.2020,121906.44
Горького 7,ЭЭ,Здание,31.12.2020,17538.9
Колхозная 32 Б,ЭЭ,склад,31.12.2020,24636.9
п. Эгвекинот,ЭЭ,Здание,31.12.2020,274477.8
Билибино,ЭЭ,Здание,31.12.2020,503649.0
"Горького, 7",ТПЭС,Здание,31.12.2020,14498.15
Дежнева 7,ТЭ,Здание,31.12.2020,2869907.38
Колхозная 32 Б,ТЭ,Здание,31.12.2020,791310.78
Южная,ТЭ,гараж,31.12.2020,510158.82
Билибино,ТЭ,Здание,31.12.2020,1396222.18
пгт.Эгвекинот,ТЭ,Здание,31.12.2020,935279.03
Дежнева 7,ВО,Здание,31.12.2020,14969.34
Южная,ВО,Здание,31.12.2020,758.25
Билибино,ВО,Здание,31.12.2020,2285.1
пгт. Эгвекинот,ВО,Здание,31.12.2020,34456.38
Южная,ГВС,Здание,31.12.2020,4992.37
Дежнева 7,ГВС,Здание,31.12.2020,32534.28
Билибино,ГВС,Здание,31.12.2020,5945.94
пгт.Эгвекинот,ГВС,Здание,31.12.2020,18788.81
Дежнева 7,ХВС,Здание,31.12.2020,53370.52
Южная,ХВС,гараж,31.12.2020,1965.94
Билибино,ХВС,Здание,31.12.2020,7233.16
пгт.Эгвекинот,ХВС,Здание,31.12.2020,17136.49
"Биробиджан, пр-т 60-летия СССР, 5",ЭЭ,Здание,31.12.2020,3505447.88
"Чапаева,5А",ЭЭ,Здание,31.12.2020,2213.91
"Биробиджан, пр-т 60-летия СССР, 5",ТЭ,Здание,31.12.2020,2169197.56
"Чапаева, 5А",ЭЭ,Здание,31.12.2020,136925.74
"Биробиджан, пр-т 60-летия СССР, 5",ХВС,Здание,31.12.2020,21778.2
"Чапаева, 5А",ХВС,Здание,31.12.2020,31.98
"Биробиджан, пр-т 60-летия СССР, 5",ВО,Здание,31.12.2020,31652.0
"Чапаева, 5А",ВО,Здание,31.12.2020,46.49
Богдана Хмельницкого 52/2,ЭЭ,Здание,31.12.2020,1178654.71
"Профсоюзная, д.12",ЭЭ,Здание,31.12.2020,993175.55
"Ленина, 29",ЭЭ,Здание,31.12.2020,440.29
"Благовещенск, пер.Святителя Иннокентия, 17",ЭЭ,пристройка,31.12.2020,1073140.99
"Благовещенск, пер.Святителя Иннокентия, 17",ЭЭ,гараж,31.12.2020,469145.35
"Благовещенск, пер.Святителя Иннокентия, 17",ЭЭ,помещение,31.12.2020,144400.71
"Зея пер.Жуковский,15",ЭЭ,гараж,31.12.2020,970.07
"Благовещенск, пер. Святителя Иннокентия,17",ТЭ,гараж,31.12.2020,220307.3
"Благовещенск, пер. Святителя Иннокентия,17",ТЭ,помещение,31.12.2020,81048.16
"Благовещенск, пер. Святителя Иннокентия,17",ТЭ,пристройка,31.12.2020,382431.44
Богдана Хмельницкого 52/2,ТЭ,КПП,31.12.2020,3421.83
"Профсоюзная, 12",ТЭ,Здание,31.12.2020,1335465.82
Ленина 29,ТЭ,Здание,31.12.2020,47721.8
"Зея, пер.Жуковский,15",ТЭ,гараж,31.12.2020,410668.68
"Благовещенск, пер.Святителя Иннокентия, 17",ХВС,гараж,31.12.2020,1975.99
"Благовещенск, пер.Святителя Иннокентия, 17",ХВС,пристройка к зданию,31.12.2020,6823.35
"Богдана Хмельницкого, 52/2",ХВС,КПП,31.12.2020,41.66
"Профсоюзная,12",ХВС,Здание,31.12.2020,3764.52
"Благовещенск, пер.Святителя Иннокентия, 17",ВО,пристройка к зданию,31.12.2020,6356.49
"Богдана Хмельницкого, 52/2",ВО,КПП,31.12.2020,39.04
"Профсоюзная,12",ВО,Здание,31.12.2020,6263.18
"Профсоюзная, 12",ГВС,Здание,31.12.2020,9016.16
"Пушкина, 4",ЭЭ,Здание,31.12.2020,3513525.37
"Пушкина,6",ТЭ,гараж,31.12.2020,106718.23
"Пушкина, 4",ТЭ,Здание,31.12.2020,3003939.7
"К.Маркса,36-20, кв.29",ТЭ,Здание,31.12.2020,12236.53
"Пушкина, 4",ГВС,Здание,31.12.2020,38263.54
"К.Маркса 36-20, кв.29",ГВС,Здание,31.12.2020,71.33
"Пушкина, 4",ХВС,Здание,31.12.2020,12507.08
"Пушкина, 4",ВО,Здание,31.12.2020,27156.11
"Поротова, 14",ЭЭ,Здание,31.12.2020,60968.6
"Ленинская, 33",ЭЭ,Здание,31.12.2020,398904.0
"Партизанская, 11",ЭЭ,Здание,31.12.2020,53925.41
"Ленинская, 22",ЭЭ,Здание,31.12.2020,3350173.45
