Направление расходов,Наименование вида расходов,Вид объекта,Дата проведения,Конечный остаток
"Калинина,261",ТПЭС,Здание,15.07.2020,32790.96
"Седова, 23",ЭЭ,Здание,21.01.2020,215.77
"Седова, 23",ЭЭ,Здание,20.02.2020,177.52
"Седова, 23",ЭЭ,Здание,19.03.2020,166.68
"Седова, 23",ЭЭ,Здание,17.04.2020,176.86
"Седова, 23",ЭЭ,Здание,20.05.2020,195.62
"Седова, 23",ЭЭ,Здание,19.06.2020,179.72
"Седова, 23",ЭЭ,Здание,20.07.2020,195.17
"Седова, 23",ЭЭ,Здание,19.08.2020,200.93
"Седова, 23",ЭЭ,Здание,21.09.2020,193.72
"Седова, 23",ЭЭ,Здание,20.10.2020,224.0
"Седова, 23",ЭЭ,Здание,23.11.2020,171.22
"Седова, 23",ЭЭ,Здание,18.12.2020,176.92
"Светланская,111",ЭЭ,Здание,18.03.2020,15818.5
"Светланская,111",ЭЭ,Здание,22.04.2020,14899.79
"Светланская,111",ЭЭ,Здание,20.05.2020,11006.82
"Светланская,111",ЭЭ,Здание,17.06.2020,11612.71
"Светланская,111",ЭЭ,Здание,21.07.2020,14438.75
"Светланская,111",ЭЭ,Здание,18.08.2020,18499.34
"Светланская,111",ЭЭ,Здание,18.09.2020,36315.88
"Светланская,111",ЭЭ,Здание,21.10.2020,35009.11
"Светланская,111",ЭЭ,Здание,19.11.2020,39050.43
"Светланская,111",ЭЭ,Здание,21.12.2020,41831.3
"Находка, Находкинский пр-т, 13",ЭЭ,Здание,21.01.2020,52505.24
"Находка, Находкинский пр-т, 13",ЭЭ,Здание,20.02.2020,47656.73
"Находка, Находкинский пр-т, 13",ЭЭ,Здание,19.03.2020,41769.25
"Находка, Находкинский пр-т, 13",ЭЭ,Здание,17.04.2020,46085.36
"Находка, Находкинский пр-т, 13",ЭЭ,Здание,19.05.2020,56800.02
"Находка, Находкинский пр-т, 13",ЭЭ,Здание,19.06.2020,40882.37
"Находка, Находкинский пр-т, 13",ЭЭ,Здание,20.07.2020,54405.25
"Находка, Находкинский пр-т, 13",ЭЭ,Здание,20.08.2020,56657.35
"Находка, Находкинский пр-т, 13",ЭЭ,Здание,21.09.2020,61344.82
"Находка, Находкинский пр-т, 13",ЭЭ,Здание,20.10.2020,54378.31
"Находка, Находкинский пр-т, 13",ЭЭ,Здание,23.11.2020,47741.89
"Находка, Находкинский пр-т, 13",ЭЭ,Здание,18.12.2020,54587.36
"Фонтанная,19",ЭЭ,Здание,21.01.2020,1798.09
"Фонтанная,19",ЭЭ,Здание,19.02.2020,1377.24
